,Unnamed: 0.1,Unnamed: 0,username,anime_id,my_score,user_id,gender,title,type,source,score,scored_by,rank,popularity,genre,Username,Gender,Location,Days Watched,Mean Score,Watching,Completed,On Hold,Dropped,Plan to Watch,Total Entries,Rewatched,Episodes Watched,Age,location,lat,lon,city,state,country
0,0,0,Damonashu,21,10,37326,Male,One Piece,TV,Manga,8.54,423868,91.0,35,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
1,1,1,Damonashu,232,0,37326,Male,Cardcaptor Sakura,TV,Manga,8.21,121898,297.0,292,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
2,2,2,Damonashu,249,4,37326,Male,InuYasha,TV,Manga,7.9,181978,697.0,141,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
3,3,3,Damonashu,269,2,37326,Male,Bleach,TV,Manga,7.9,433097,693.0,18,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
4,4,4,Damonashu,853,6,37326,Male,Ouran Koukou Host Club,TV,Manga,8.34,335137,205.0,69,"Comedy, Harem, Romance, School, Shoujo",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
5,5,5,Damonashu,857,4,37326,Male,Air Gear,TV,Manga,7.64,126326,1233.0,297,"Action, Comedy, Ecchi, Shounen, Sports",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
6,6,6,Damonashu,1571,0,37326,Male,Ghost Hunt,TV,Novel,7.92,69224,656.0,527,"Comedy, Horror, Mystery, Shoujo, Supernatural",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
7,7,7,Damonashu,6045,0,37326,Male,Kimi ni Todoke,TV,Manga,8.13,212710,400.0,111,"Slice of Life, Drama, Romance, School, Shoujo",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
8,8,8,Damonashu,9863,0,37326,Male,SKET Dance,TV,Manga,8.33,44132,213.0,646,"Comedy, School, Shounen",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
9,9,9,Damonashu,1,10,37326,Male,Cowboy Bebop,TV,Original,8.81,365465,27.0,38,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Damonashu,Male,"Detroit,Michigan",91.0,6.16,6.0,216.0,34.0,37.0,29.0,322.0,6.0,5360.0,32,"Detroit,Michigan",42.3315509,-83.0466403,Detroit,Michigan,United States
